M;Inzynier;Wroclaw;Jan;Nowak;7
M;Inzynier;Katowice;Adam;Kowalski;11
M;Inzynier;Wroclaw;Kamil;Malinowski;15
M;Inzynier;Czestochowa;Jakub;Jagiel;15
M;Programista;Wroclaw;Szymon;Osowski;19
M;Programista;Wroclaw;Filip;Nowak;22
M;Malarz;Rybnik;Mikolaj;Kowalski;30
K;Malarz;Olawa;Julia;Wojcik;40
K;Tancerz;Olawa;Zofia;Kowalczyk;43
M;Muzyk;Wroclaw;Kacper;Szymanski;50
M;Muzyk;Wroclaw;Kacper;Szymanski;51
M;Muzyk;Wroclaw;Damian;Nowakowski;53
M;Muzyk;Swidnica;Dawid;Kowalski;60
M;Muzyk;Rybnik;Wiktor;Nowak;90
M;Programista;Siedlce;Szymon;Kowal;19
M;Programista;Glubczyce;Edward;Jagiel;45
M;Muzyk;Namyslow;Cezary;Wojcik;23
K;Programista;Wyszkow;Beata;Osowski;24
M;Programista;Lubin;Adam;Kowalski;11
M;Programista;Zabrze;Kamil;Malinowski;32
M;Muzyk;Olawa;Krystian;Nowak;37
K;Muzyk;Lubin;Joanna;Szymanski;55
M;Muzyk;Ciechanow;Roman;Nowak;22
K;Programista;Gdynia;Julia;Wojcik;35
M;Muzyk;Gdansk;Wojciech;Kowal;28
M;Programista;Sopot;Wojciech;Kowalski;17
M;Muzyk;Puck;Damian;Malinowski;26
K;Tancerz;Glubczyce;Joanna;Kowal;39
M;Tancerz;Lipsko;Grzegorz;Malinowski;10
K;Programista;Warszawa;Zofia;Nowak;30
